file,line,detail
ring_buf.h,227,new,task_id,37, type,0
ring_buf.h,270,succeed,task_id,38,predecessor_cnt,2,predecessor_id,35,idx,2
ring_buf.h,227,new,task_id,38, type,0
ring_buf.h,270,succeed,task_id,39,predecessor_cnt,2,predecessor_id,35,idx,3
ring_buf.h,227,new,task_id,39, type,0
ring_buf.h,270,succeed,task_id,40,predecessor_cnt,2,predecessor_id,35,idx,4
ring_buf.h,227,new,task_id,40, type,0
ring_buf.h,270,succeed,task_id,41,predecessor_cnt,2,predecessor_id,35,idx,5
ring_buf.h,227,new,task_id,41, type,0
ring_buf.h,270,succeed,task_id,42,predecessor_cnt,2,predecessor_id,35,idx,6
ring_buf.h,227,new,task_id,42, type,0
ring_buf.h,270,succeed,task_id,43,predecessor_cnt,2,predecessor_id,35,idx,7
ring_buf.h,227,new,task_id,43, type,0
ring_buf.h,270,succeed,task_id,44,predecessor_cnt,2,predecessor_id,35,idx,8
ring_buf.h,227,new,task_id,44, type,0
ring_buf.h,270,succeed,task_id,45,predecessor_cnt,2,predecessor_id,36,idx,0
ring_buf.h,270,succeed,task_id,45,predecessor_cnt,3,predecessor_id,37,idx,0
ring_buf.h,270,succeed,task_id,45,predecessor_cnt,4,predecessor_id,38,idx,0
ring_buf.h,270,succeed,task_id,45,predecessor_cnt,5,predecessor_id,39,idx,0
ring_buf.h,270,succeed,task_id,45,predecessor_cnt,6,predecessor_id,40,idx,0
ring_buf.h,270,succeed,task_id,45,predecessor_cnt,7,predecessor_id,41,idx,0
ring_buf.h,270,succeed,task_id,45,predecessor_cnt,8,predecessor_id,43,idx,0
ring_buf.h,227,new,task_id,45, type,1
ring_buf.h,227,new,task_id,46, type,1
ring_buf.h,234,enqueue,task_id,46, type,1, ctrl_id,0, cnt,4
ring_buf.h,270,succeed,task_id,47,predecessor_cnt,2,predecessor_id,46,idx,0
ring_buf.h,227,new,task_id,47, type,0
ring_buf.h,270,succeed,task_id,48,predecessor_cnt,2,predecessor_id,46,idx,1
ring_buf.h,227,new,task_id,48, type,0
ring_buf.h,270,succeed,task_id,49,predecessor_cnt,2,predecessor_id,46,idx,2
ring_buf.h,227,new,task_id,49, type,0
ring_buf.h,270,succeed,task_id,50,predecessor_cnt,2,predecessor_id,46,idx,3
ring_buf.h,227,new,task_id,50, type,0
